variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1000,1,3,3,none,94.37,24.388,62.6305,0.2569,58.14,26.238,25.69,0.261,296.74,460.31,144,14,280,7,0
full,1001,1,3,3,none,104.23,23.435,69.2391,0.3313,56.89,26.228,25.71,0.288,345.34,493.99,170,19,365,6,0
full,1002,1,3,3,none,96.51,22.629,63.9476,0.2994,57.9,26.24,25.7,0.266,312.43,458.08,157,13,248,5,0
full,1003,1,3,3,none,86.87,21.375,57.239,0.2512,59.17,26.246,25.71,0.238,304.21,451.35,160,10,245,1,0
full,1004,1,3,3,none,97.39,22.431,64.5339,0.4094,57.8,26.235,25.7,0.268,326.63,427.47,161,12,248,2,0
full,1005,1,3,3,none,110.91,22.993,73.9071,0.3621,56.0,26.225,25.71,0.308,290.67,425.01,173,17,255,8,0
full,1006,1,3,3,none,110.37,23.369,73.1981,0.3069,56.14,26.222,25.7,0.305,298.07,420.23,157,18,357,7,0
full,1007,1,3,3,none,108.37,23.411,72.4293,0.3226,56.28,26.223,25.72,0.301,292.99,420.96,164,18,298,6,0
