variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,138.27,26.179,90.7934,0.4602,52.8,26.195,25.71,0.378,45.67,57.62,141,25,553,8,0,7,2.86,open
full,1001,1,3,3,none,193.66,37.642,127.4986,0.57,45.81,26.152,25.72,0.532,45.19,61.9,141,23,278,16,0,0,5.31,open
full,1002,1,3,3,none,162.41,33.053,105.9119,0.4872,49.92,26.177,25.7,0.441,45.06,63.86,148,24,499,12,0,7,4.37,dead_end
full,1003,1,3,3,none,195.08,35.466,128.0714,0.4884,45.7,26.152,25.72,0.534,43.79,62.31,140,24,654,17,0,1,4.05,open
full,1004,1,3,3,none,157.37,30.147,102.0857,0.4601,50.65,26.178,25.71,0.425,45.48,64.26,155,21,436,11,0,0,4.3,open
full,1005,1,3,3,none,201.56,41.394,131.1686,0.5355,45.11,26.149,25.72,0.547,46.83,62.54,150,22,459,14,0,5,4.99,open
full,1006,1,3,3,none,171.81,34.304,111.9076,0.4915,48.78,26.172,25.7,0.466,47.19,68.61,141,24,563,14,0,0,4.32,dead_end
full,1007,1,3,3,none,175.46,31.325,115.899,0.4556,48.02,26.163,25.71,0.483,48.23,69.74,136,23,697,15,0,0,3.5,open
full,1008,1,3,3,none,146.74,28.499,96.5248,0.3592,51.7,26.186,25.71,0.402,46.48,65.29,147,19,494,10,0,0,2.63,open
full,1009,1,3,3,none,194.55,32.401,126.8081,0.425,45.93,26.153,25.71,0.529,45.84,65.58,137,26,505,15,0,10,4.23,open
full,1010,1,3,3,none,173.87,29.53,113.5085,0.461,48.48,26.166,25.7,0.473,43.47,59.03,151,36,685,12,0,14,4.7,open
full,1011,1,3,3,none,151.2,29.208,99.0464,0.4859,51.23,26.182,25.72,0.413,42.8,62.38,165,20,410,11,0,0,3.58,open
full,1012,1,3,3,none,172.81,34.938,112.9468,0.5354,48.58,26.171,25.7,0.471,46.56,71.45,141,21,411,14,0,0,4.73,dead_end
full,1013,1,3,3,none,177.1,36.227,115.4474,0.531,48.11,26.163,25.71,0.481,45.04,62.33,149,20,510,15,0,18,5.16,open
full,1014,1,3,3,none,164.91,32.49,107.8547,0.5443,49.56,26.175,25.71,0.449,42.14,55.3,138,19,442,13,0,11,4.13,dead_end
full,1015,1,3,3,none,148.78,28.083,96.7847,0.4389,51.66,26.186,25.71,0.403,44.02,66.52,143,16,500,9,0,2,3.73,open
full,1016,1,3,3,none,210.29,38.707,138.3547,0.5938,43.75,26.143,25.72,0.577,45.83,70.62,157,28,494,18,0,0,3.31,open
full,1017,1,3,3,none,144.36,27.481,94.2528,0.4548,52.14,26.19,25.7,0.393,44.96,65.11,152,20,388,10,0,0,4.1,open
full,1018,1,3,3,none,162.1,32.378,106.3314,0.4753,49.85,26.172,25.7,0.443,45.59,69.6,146,29,733,13,0,3,3.3,open
full,1019,0,2,3,timeout,240.0,42.85,156.2136,0.6093,40.34,26.123,25.72,0.652,45.82,60.48,137,36,669,23,0,2,6.54,open
full,1020,1,3,3,none,150.73,29.27,99.2968,0.4507,51.18,26.182,25.71,0.414,51.56,91.04,137,30,502,11,0,0,3.42,open
full,1021,1,3,3,none,152.87,29.697,99.5331,0.4226,51.14,26.182,25.71,0.415,45.29,81.2,135,19,581,11,0,0,2.95,open
full,1022,1,3,3,none,149.29,29.896,97.7825,0.5222,51.48,26.185,25.7,0.407,33.75,62.07,159,27,614,11,0,0,4.24,open
full,1023,0,2,3,timeout,240.0,39.667,158.4244,0.5009,39.91,26.118,25.74,0.661,28.1,46.9,147,30,809,25,0,1,4.45,open
full,1024,1,3,3,none,214.41,39.22,140.6691,0.5507,43.3,26.148,25.71,0.587,29.76,56.28,154,25,523,18,0,2,5.29,dead_end
full,1025,1,3,3,none,223.6,41.861,146.8669,0.6814,42.12,26.136,25.71,0.613,32.11,51.68,155,34,553,20,0,15,6.84,open
full,1026,1,3,3,none,171.02,32.412,112.2128,0.444,48.72,26.167,25.72,0.468,31.95,52.21,139,18,387,13,0,0,3.27,open
full,1027,1,3,3,none,185.21,34.232,122.0779,0.5891,46.85,26.164,25.71,0.509,32.09,47.19,151,27,657,14,0,5,5.51,dead_end
full,1028,1,3,3,none,163.82,30.978,107.1851,0.4057,49.68,26.171,25.71,0.447,32.03,44.42,137,22,410,11,0,0,3.4,open
full,1029,1,3,3,none,156.78,30.609,103.479,0.4809,50.39,26.176,25.71,0.431,31.59,41.93,145,18,549,11,0,25,4.52,open
full,1030,1,3,3,none,158.38,27.62,103.1155,0.451,50.45,26.177,25.7,0.43,33.56,52.84,141,18,522,11,0,4,5.04,open
full,1031,1,3,3,none,178.2,35.793,116.667,0.5458,47.88,26.163,25.7,0.486,34.57,52.21,139,23,308,15,0,0,5.07,open
full,1032,1,3,3,none,155.38,28.523,101.4707,0.439,50.77,26.179,25.7,0.423,32.78,53.46,142,17,549,11,0,2,2.9,open
full,1033,1,3,3,none,156.18,29.764,101.9457,0.478,50.68,26.178,25.7,0.425,32.13,50.55,135,21,482,12,0,0,3.67,open
full,1034,1,3,3,none,132.09,26.014,86.6065,0.4147,53.6,26.202,25.7,0.361,33.51,51.39,148,17,459,7,0,0,3.35,open
full,1035,1,3,3,none,170.37,32.133,111.3292,0.4766,48.89,26.168,25.7,0.464,32.82,51.72,152,23,621,13,0,19,4.12,open
full,1036,1,3,3,none,157.06,31.371,103.2516,0.5228,50.43,26.176,25.72,0.43,32.78,50.07,135,10,486,12,0,22,4.33,open
full,1037,1,3,3,none,175.21,32.823,114.9258,0.4661,48.21,26.17,25.71,0.479,32.9,52.1,140,27,600,15,0,0,3.61,dead_end
full,1038,1,3,3,none,175.76,33.206,115.6141,0.5772,48.08,26.163,25.72,0.482,32.81,51.45,147,23,530,15,0,0,3.95,open
full,1039,1,3,3,none,144.97,28.318,95.2285,0.518,51.96,26.188,25.71,0.397,33.46,50.9,139,19,515,10,0,16,3.93,open
full,1040,1,3,3,none,182.48,36.256,119.289,0.5317,47.38,26.16,25.71,0.497,32.94,45.58,152,24,462,15,0,4,5.96,open
full,1041,1,3,3,none,160.78,32.335,105.0412,0.4879,50.09,26.173,25.7,0.438,32.93,53.86,151,20,372,12,0,7,4.99,open
full,1042,1,3,3,none,135.61,26.873,89.1361,0.4406,53.11,26.202,25.71,0.371,34.05,53.28,137,20,354,8,0,0,2.74,dead_end
full,1043,1,3,3,none,147.24,30.155,97.0809,0.382,51.59,26.185,25.7,0.405,36.38,60.41,146,31,435,10,0,0,3.4,open
full,1044,1,3,3,none,145.05,27.041,95.2055,0.4085,51.96,26.188,25.71,0.397,40.95,58.43,147,24,452,9,0,0,2.98,open
full,1045,1,3,3,none,149.95,28.209,97.84,0.4476,51.46,26.184,25.71,0.408,39.87,53.43,138,24,579,10,0,0,3.39,open
full,1046,1,3,3,none,210.06,42.228,135.602,0.5014,44.27,26.146,25.71,0.566,48.55,67.92,130,26,502,19,0,0,5.01,open
full,1047,1,3,3,none,180.21,32.871,118.5313,0.511,47.52,26.166,25.72,0.494,44.92,64.69,147,20,746,14,0,24,3.85,dead_end
full,1048,1,3,3,none,176.89,33.698,115.6534,0.4295,48.06,26.163,25.71,0.482,46.87,60.72,141,22,560,14,0,0,3.03,open
full,1049,1,3,3,none,154.88,31.756,101.4385,0.508,50.78,26.179,25.72,0.423,44.73,61.72,143,11,386,11,0,16,4.49,open
