variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1153,1,3,3,none,98.86,24.189,66.1244,0.4147,57.48,26.232,25.69,0.275,150.7,223.63,153,29,112,3,0
full,1154,0,1,3,collision,40.5,9.582,26.9926,0.1642,64.9,26.293,25.78,0.112,162.95,209.62,53,8,56,3,1
full,1155,1,3,3,none,121.48,29.249,80.0397,0.452,54.84,26.211,25.69,0.333,174.29,239.01,143,34,226,7,0
full,1156,1,3,3,none,107.13,25.374,71.3975,0.3691,56.48,26.225,25.69,0.297,170.06,209.04,156,25,148,5,0
full,1157,1,3,3,none,105.41,25.072,70.7295,0.4106,56.61,26.23,25.69,0.294,149.62,240.43,143,38,141,2,0
full,1158,0,1,3,collision,40.02,9.626,26.8785,0.2007,64.92,26.291,25.78,0.112,163.45,228.88,49,13,44,3,1
full,1159,1,3,3,none,88.8,22.469,59.335,0.4011,58.78,26.243,25.74,0.247,146.5,203.52,148,16,146,1,0
full,1160,1,3,3,none,123.31,31.475,81.8346,0.5232,54.5,26.213,25.69,0.341,151.16,216.4,146,35,154,4,0
full,1161,0,2,3,collision,69.25,16.366,46.1876,0.2712,61.26,26.262,25.71,0.192,170.46,206.58,109,15,87,3,1
full,1162,1,3,3,none,102.23,24.44,68.4648,0.4199,57.04,26.229,25.69,0.285,139.27,214.9,137,35,156,3,0
full,1163,1,3,3,none,104.47,24.723,69.0201,0.3306,56.93,26.228,25.69,0.287,157.99,204.33,148,25,177,2,0
full,1164,1,3,3,none,103.44,24.213,69.0562,0.3833,56.93,26.228,25.69,0.287,144.41,218.13,146,31,138,3,0
full,1165,1,3,3,none,104.82,24.071,70.1377,0.4014,56.72,26.226,25.7,0.292,165.06,231.76,147,32,126,4,0
full,1166,1,3,3,none,103.58,24.059,69.1472,0.43,56.91,26.228,25.69,0.288,150.37,203.37,150,24,149,3,0
full,1167,1,3,3,none,95.27,23.371,63.4954,0.3776,57.98,26.236,25.69,0.264,169.81,216.13,150,21,137,1,0
full,1168,1,3,3,none,93.42,23.633,62.1838,0.3644,58.23,26.239,25.69,0.259,158.46,296.35,148,17,148,1,0
full,1169,0,2,3,collision,70.57,17.069,47.5498,0.2871,61.0,26.257,25.8,0.198,139.67,216.13,100,25,91,2,1
full,1170,1,3,3,none,103.42,24.854,69.2895,0.3935,56.88,26.227,25.7,0.288,174.56,217.19,154,36,146,4,0
full,1171,1,3,3,none,98.63,24.635,65.7389,0.3756,57.56,26.233,25.69,0.274,155.9,225.59,148,32,172,3,0
full,1172,1,3,3,none,101.29,23.906,67.9089,0.4378,57.15,26.23,25.69,0.282,177.39,221.2,154,29,179,2,0
full,1173,1,3,3,none,99.02,24.618,65.9619,0.3572,57.51,26.232,25.7,0.275,175.15,213.04,137,22,167,5,0
full,1174,1,3,3,none,102.06,24.305,68.3319,0.4187,57.07,26.229,25.71,0.284,176.74,219.51,147,30,155,3,0
full,1175,1,3,3,none,109.81,25.022,73.327,0.3986,56.11,26.226,25.69,0.305,179.64,234.38,147,28,130,4,0
full,1176,1,3,3,none,105.2,25.902,69.9822,0.4196,56.75,26.227,25.69,0.291,157.7,235.28,151,30,165,4,0
full,1177,1,3,3,none,99.23,24.144,66.9595,0.4152,57.32,26.231,25.7,0.279,154.14,220.57,146,30,139,3,0
full,1178,1,3,3,none,103.51,24.541,69.3208,0.4108,56.88,26.232,25.69,0.288,163.17,220.63,142,35,152,4,0
full,1179,1,3,3,none,97.22,23.495,65.072,0.3865,57.68,26.234,25.72,0.271,181.43,222.87,143,27,98,1,0
full,1180,0,1,3,collision,92.28,23.283,61.6802,0.4318,58.32,26.226,25.88,0.257,167.88,230.29,52,41,124,10,1
full,1181,1,3,3,none,117.85,29.149,77.7689,0.4422,55.27,26.215,25.69,0.324,214.06,292.6,150,30,167,5,0
full,1182,1,3,3,none,101.23,25.051,66.911,0.3066,57.33,26.231,25.69,0.278,226.62,312.0,145,17,200,4,0
full,1183,1,3,3,none,114.95,27.643,77.4257,0.4693,55.34,26.215,25.69,0.322,206.67,306.4,138,41,154,8,0
full,1184,1,3,3,none,102.49,24.757,68.6207,0.4046,57.01,26.229,25.69,0.286,195.58,296.13,155,28,163,3,0
full,1185,1,3,3,none,104.94,25.034,69.2718,0.3081,56.88,26.228,25.7,0.288,153.86,269.19,156,23,177,4,0
full,1186,1,3,3,none,114.58,27.242,76.5176,0.4139,55.51,26.217,25.69,0.319,152.91,225.09,148,38,170,5,0
full,1187,1,3,3,none,104.43,25.164,69.7564,0.4119,56.79,26.227,25.69,0.29,149.75,209.77,145,34,161,5,0
full,1188,0,2,3,collision,78.95,16.342,52.8899,0.3111,59.99,26.251,25.8,0.22,135.02,216.12,101,33,164,3,1
full,1189,1,3,3,none,100.22,24.894,66.2427,0.3373,57.46,26.232,25.69,0.276,155.77,216.13,149,25,226,4,0
full,1190,1,3,3,none,104.36,24.532,70.2833,0.4352,56.69,26.226,25.69,0.292,138.46,215.21,145,36,132,3,0
full,1191,1,3,3,none,106.81,24.393,70.9084,0.3824,56.57,26.23,25.69,0.295,168.96,216.13,162,28,136,4,0
full,1192,1,3,3,none,102.64,24.94,68.0012,0.3365,57.13,26.23,25.69,0.283,150.77,202.65,148,25,188,3,0
full,1193,1,3,3,none,105.04,24.742,70.1644,0.3936,56.72,26.226,25.69,0.292,160.24,213.83,147,30,151,3,0
full,1194,1,3,3,none,108.19,26.396,71.8683,0.3536,56.39,26.224,25.69,0.299,156.05,201.8,143,28,178,7,0
full,1195,1,3,3,none,106.39,25.928,71.2074,0.3941,56.52,26.224,25.69,0.296,154.9,245.81,142,34,182,7,0
full,1196,1,3,3,none,100.8,25.124,66.4965,0.3154,57.41,26.232,25.7,0.277,163.13,235.24,146,18,208,3,0
full,1197,1,3,3,none,116.08,26.863,77.5078,0.4262,55.32,26.215,25.69,0.323,174.17,228.93,149,40,166,6,0
full,1198,1,3,3,none,100.67,24.797,66.9452,0.4106,57.33,26.231,25.69,0.279,133.11,200.55,135,23,155,3,0
full,1199,1,3,3,none,105.61,24.483,69.5221,0.3059,56.84,26.232,25.69,0.289,131.98,162.82,149,37,205,5,0
