variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions
full,1000,0,2,3,collision,86.42,21.796,57.6068,0.344,59.1,26.242,25.76,0.24,167.94,291.82,104,25,157,8,1
full,1001,0,1,3,timeout,240.0,46.124,156.6448,0.6474,40.26,26.124,25.74,0.654,147.58,243.31,51,92,627,35,0
full,1002,0,1,3,timeout,240.0,26.752,153.6319,0.4221,40.83,26.127,25.72,0.641,178.09,265.78,51,100,815,39,0
full,1003,0,2,3,collision,75.55,21.913,50.758,0.3127,60.4,26.25,25.76,0.211,182.11,309.64,140,15,117,3,1
full,1004,0,1,3,timeout,240.0,36.599,154.8795,0.53,40.59,26.124,25.75,0.647,241.51,344.05,53,75,645,36,0
full,1005,0,0,3,collision,21.63,4.98,14.5977,0.0609,67.24,26.303,25.78,0.061,198.88,318.78,39,1,37,2,1
full,1006,0,3,3,collision,114.5,32.477,76.2643,0.4927,55.57,26.215,25.75,0.317,184.26,297.71,146,33,236,6,1
full,1007,0,3,3,timeout,240.0,51.262,156.536,0.752,40.28,26.128,25.66,0.653,180.66,269.34,145,57,808,28,0
