variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1053,1,3,3,none,136.52,23.39,87.2423,0.3254,53.47,26.2,25.66,0.363,34.15,62.5,143,15,203,4,0,0,4.3,open
full,1054,1,3,3,none,132.73,23.207,85.002,0.3303,53.89,26.204,25.66,0.354,34.02,62.49,154,16,213,3,0,0,4.56,open
full,1055,1,3,3,none,144.82,23.159,92.1953,0.3025,52.52,26.193,25.67,0.384,33.9,62.5,162,16,195,4,0,0,4.3,open
full,1056,1,3,3,none,134.43,22.58,85.5877,0.3021,53.78,26.203,25.67,0.357,34.46,62.5,148,15,124,2,0,0,4.7,open
full,1057,1,3,3,none,141.24,22.854,89.587,0.2599,53.02,26.197,25.67,0.373,34.29,78.24,144,13,120,2,0,0,4.83,open
full,1058,1,3,3,none,151.44,24.298,96.9444,0.2957,51.62,26.185,25.67,0.404,34.57,55.65,145,14,127,6,0,0,5.08,open
full,1059,1,3,3,none,142.73,24.009,91.3533,0.3635,52.69,26.194,25.66,0.381,35.58,62.5,154,18,216,6,0,0,4.11,open
full,1060,1,3,3,none,135.63,23.107,86.6577,0.352,53.58,26.201,25.66,0.361,33.18,46.88,152,17,181,3,0,0,4.78,open
full,1061,1,3,3,none,131.35,23.509,84.7515,0.3765,53.94,26.204,25.67,0.353,34.08,52.71,151,17,154,5,0,0,3.94,open
full,1062,1,3,3,none,140.33,23.138,89.1192,0.2692,53.11,26.197,25.67,0.371,34.88,62.49,144,13,134,3,0,0,4.86,open
full,1063,1,3,3,none,142.03,22.934,90.2713,0.2585,52.89,26.196,25.67,0.376,26.14,44.56,148,14,163,3,0,0,5.1,open
full,1064,1,3,3,none,139.93,22.908,89.2933,0.3449,53.08,26.197,25.66,0.372,26.24,42.35,148,17,164,3,0,0,4.58,open
full,1065,1,3,3,none,139.63,23.098,88.8885,0.3399,53.16,26.198,25.66,0.37,25.96,36.5,147,14,84,2,0,0,5.17,open
full,1066,1,3,3,none,135.33,23.404,86.8862,0.3297,53.53,26.201,25.66,0.362,26.13,41.26,151,19,164,6,0,0,4.29,open
full,1067,1,3,3,none,148.74,23.707,95.4133,0.3606,51.91,26.188,25.66,0.398,25.88,40.33,177,20,183,5,0,0,4.67,open
full,1068,1,3,3,none,129.19,23.095,83.1006,0.3594,54.25,26.207,25.68,0.346,24.68,41.79,162,20,194,3,0,0,4.09,open
full,1069,1,3,3,none,171.32,24.942,110.0677,0.3085,49.12,26.168,25.67,0.459,24.87,46.86,151,22,293,11,0,0,4.57,open
full,1070,1,3,3,none,142.55,23.33,90.5939,0.2923,52.83,26.195,25.67,0.377,26.52,38.33,149,13,225,3,0,0,4.31,open
full,1071,1,3,3,none,140.44,23.337,90.0185,0.3561,52.94,26.196,25.66,0.375,25.69,40.56,144,17,180,4,0,0,4.49,open
full,1072,1,3,3,none,138.45,23.096,87.9851,0.2611,53.32,26.199,25.67,0.367,25.66,41.46,138,15,168,3,0,0,4.75,open
full,1073,1,3,3,none,135.22,22.778,86.1238,0.328,53.68,26.202,25.66,0.359,25.88,36.83,168,12,84,2,0,0,4.97,open
full,1074,1,3,3,none,142.14,23.504,90.5773,0.311,52.83,26.195,25.66,0.377,26.42,46.82,143,18,221,3,0,0,4.66,open
