variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1041,0,1,3,timeout,240.0,14.789,153.1254,0.3097,40.92,26.126,25.71,0.639,26.51,46.87,89,13,1834,34,0,0,1.97,open
full,1042,1,3,3,none,135.32,22.693,86.2017,0.2858,53.66,26.202,25.67,0.359,25.25,36.05,145,11,148,2,0,0,4.77,open
full,1043,1,3,3,none,132.37,23.263,84.6877,0.3156,53.95,26.204,25.68,0.353,24.8,34.66,138,14,163,3,0,0,4.44,open
full,1044,1,3,3,none,134.22,23.203,85.7597,0.3004,53.75,26.203,25.66,0.357,25.6,46.83,150,15,99,2,0,0,4.81,open
full,1045,1,3,3,none,147.92,24.014,94.863,0.3418,52.02,26.189,25.66,0.395,25.36,31.4,161,17,55,7,0,0,4.35,open
full,1046,1,3,3,none,213.05,25.687,136.3677,0.4077,44.12,26.144,25.67,0.569,24.98,39.09,156,21,812,18,0,0,4.55,open
full,1047,1,3,3,none,131.14,23.161,83.9169,0.3753,54.1,26.205,25.67,0.349,27.66,48.32,161,18,103,3,0,0,4.58,open
full,1048,1,3,3,none,140.24,22.799,89.0322,0.2572,53.12,26.198,25.67,0.371,24.98,32.07,143,14,167,2,0,0,4.76,open
full,1049,1,3,3,none,143.12,23.658,91.9141,0.3145,52.58,26.193,25.67,0.383,23.83,33.23,144,18,181,6,0,0,4.28,open
full,1050,1,3,3,none,150.82,22.996,96.9694,0.3436,51.62,26.185,25.66,0.404,25.05,31.84,177,18,77,7,0,0,4.4,open
full,1051,1,3,3,none,130.72,23.0,83.7308,0.3641,54.14,26.206,25.66,0.349,25.93,38.93,155,14,173,3,0,0,4.47,open
full,1052,1,3,3,none,130.35,22.252,83.4897,0.3311,54.18,26.206,25.66,0.348,24.34,33.14,169,19,194,3,0,0,4.71,open
full,1053,1,3,3,none,144.34,22.867,92.8408,0.3408,52.4,26.192,25.66,0.387,25.27,38.21,173,14,67,4,0,0,4.5,open
full,1054,1,3,3,none,141.04,22.53,89.6012,0.3114,53.02,26.197,25.66,0.373,24.55,31.72,150,15,199,2,0,0,4.38,open
full,1055,1,3,3,none,142.74,23.83,91.0994,0.3566,52.73,26.194,25.66,0.38,25.43,39.36,168,18,157,5,0,0,4.5,open
full,1056,1,3,3,none,126.85,23.183,81.4752,0.371,54.57,26.209,25.66,0.339,24.06,34.31,152,19,200,2,0,0,4.67,open
full,1057,1,3,3,none,145.91,23.319,94.0797,0.4091,52.17,26.194,25.66,0.392,26.4,46.87,172,18,112,6,0,0,4.3,dead_end
full,1058,1,3,3,none,126.17,23.324,81.6338,0.3482,54.53,26.209,25.7,0.34,25.48,31.33,145,17,98,3,0,0,3.95,open
full,1059,1,3,3,none,151.64,23.567,96.8171,0.349,51.65,26.186,25.66,0.403,25.76,40.47,150,18,222,5,0,0,4.73,open
full,1060,1,3,3,none,136.54,23.443,87.1102,0.3058,53.49,26.2,25.67,0.363,25.21,43.57,144,15,160,4,0,0,4.67,open
full,1061,1,3,3,none,130.67,23.411,83.9074,0.3533,54.1,26.205,25.69,0.349,24.74,31.34,174,21,259,3,0,0,4.03,open
full,1062,1,3,3,none,152.34,24.258,98.4135,0.4285,51.34,26.183,25.67,0.41,25.56,41.59,163,20,235,7,0,0,4.1,open
full,1063,1,3,3,none,152.21,23.884,97.7705,0.3165,51.46,26.189,25.66,0.407,24.7,31.33,155,16,143,6,0,0,4.52,dead_end
full,1064,0,2,3,timeout,240.0,21.74,152.606,0.4038,41.03,26.13,25.67,0.637,25.72,32.15,144,14,1374,28,0,0,3.31,open
full,1065,1,3,3,none,140.0,23.141,89.2654,0.3478,53.08,26.197,25.69,0.372,25.37,31.59,142,19,124,3,0,0,5.0,open
full,1066,1,3,3,none,131.46,23.012,84.1699,0.2876,54.05,26.205,25.69,0.351,26.4,32.26,146,15,185,3,0,0,4.38,open
full,1067,1,3,3,none,132.53,22.494,84.5887,0.3235,53.97,26.204,25.66,0.352,24.32,38.62,154,19,101,1,0,0,5.13,open
full,1068,1,3,3,none,142.14,23.106,91.4944,0.3652,52.66,26.194,25.66,0.381,25.03,37.04,169,18,102,3,0,0,4.14,open
full,1069,1,3,3,none,139.69,23.42,89.4217,0.2986,53.05,26.197,25.68,0.373,24.54,31.33,156,16,149,4,0,0,4.48,open
full,1070,1,3,3,none,146.81,24.357,94.5237,0.355,52.08,26.194,25.68,0.394,25.42,46.91,144,20,230,7,0,0,4.43,dead_end
full,1071,1,3,3,none,143.92,23.206,91.6499,0.2492,52.63,26.194,25.66,0.382,24.14,32.48,154,16,160,4,0,0,4.47,open
full,1072,1,3,3,none,145.54,23.774,92.5792,0.2995,52.45,26.192,25.67,0.386,25.57,31.9,146,15,227,5,0,0,4.73,open
full,1073,1,3,3,none,136.03,23.209,86.7501,0.316,53.56,26.201,25.67,0.361,26.24,46.86,161,14,169,2,0,0,4.8,open
full,1074,1,3,3,none,143.34,22.908,90.8847,0.2998,52.77,26.195,25.66,0.379,26.28,33.66,146,13,71,3,0,0,5.1,open
