axis,value,runs,n_success,success_pct,n_timeout,n_battery,n_collision,mean_mission_time_s,mean_energy_wh,mean_regen_wh,mean_final_soc,mean_soc_spread,mean_nmpc_mean_ms,mean_recoveries,mean_collisions
dyn_count,0,20,19,95.0,1,0,0,40.984,26.598,0.126,80.024,0.109,104.852,0.947,0.0
dyn_count,1,20,18,90.0,1,0,1,55.093,35.835,0.166,78.327,0.147,100.338,3.222,0.0
dyn_count,2,20,20,100.0,0,0,0,50.652,33.036,0.15,78.852,0.135,94.946,2.95,0.0
