variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,1,1,none,56.34,7.933,36.4473,0.1046,63.1,26.278,25.66,0.152,79.0,148.71,60,2,94,3,0,0,1.31,open
full,1001,1,1,1,none,38.35,7.054,24.6457,0.093,65.34,26.295,25.68,0.102,92.38,140.61,50,3,55,0,0,0,0.9,open
full,1002,1,1,1,none,40.72,7.658,26.1795,0.1106,65.05,26.293,25.67,0.109,100.17,141.89,50,5,49,1,0,0,1.07,open
full,1003,1,1,1,none,38.32,7.34,24.6912,0.1107,65.33,26.295,25.67,0.103,99.19,148.42,51,3,54,0,0,0,1.03,open
full,1004,1,1,1,none,38.04,7.348,24.4681,0.0863,65.37,26.296,25.67,0.102,99.54,140.61,52,2,48,0,0,0,0.97,open
full,1005,1,1,1,none,39.94,7.029,25.5895,0.1257,65.16,26.295,25.65,0.106,108.18,151.37,53,2,47,0,0,0,1.12,open
full,1006,1,1,1,none,38.32,7.193,24.6435,0.1124,65.34,26.296,25.66,0.102,103.23,140.61,52,4,46,0,0,0,0.85,open
full,1007,1,1,1,none,42.45,7.909,27.8057,0.1499,64.74,26.291,25.67,0.116,96.65,148.58,50,7,57,2,0,0,1.08,open
