variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,3,3,none,141.63,23.151,90.0164,0.2404,37.86,26.097,25.69,0.377,129.8,200.02,146,16,147,3,0,0,4.57,open
full,1001,1,3,3,none,138.93,23.397,88.7013,0.3166,38.12,26.101,25.7,0.371,117.61,172.5,161,18,168,4,0,0,4.84,open
full,1002,1,3,3,none,132.53,22.733,84.5764,0.3495,38.9,26.111,25.68,0.354,125.36,166.42,161,19,103,2,0,0,4.34,open
full,1003,1,3,3,none,139.44,23.527,88.7897,0.2696,38.1,26.1,25.69,0.372,117.6,166.27,161,16,192,3,0,0,4.49,open
full,1004,1,3,3,none,144.73,23.856,92.2462,0.3413,37.44,26.092,25.69,0.386,120.5,191.64,160,18,212,4,0,0,4.79,open
full,1005,1,3,3,none,145.33,23.501,93.3638,0.3084,37.23,26.089,25.69,0.391,120.7,180.16,160,19,134,4,0,0,4.31,open
full,1006,1,3,3,none,130.53,22.981,83.5797,0.3354,39.09,26.113,25.68,0.35,127.42,182.38,145,19,182,2,0,0,4.57,open
full,1007,1,3,3,none,145.23,23.687,92.1197,0.2603,37.46,26.092,25.68,0.386,124.59,170.63,146,15,215,4,0,0,4.79,open
