variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,1,1,none,57.64,10.352,37.5776,0.149,62.89,26.276,25.68,0.156,109.85,175.89,51,15,161,4,0,2,2.15,dead_end
full,1001,1,1,1,none,53.33,9.381,34.9115,0.1439,63.4,26.28,25.66,0.145,122.34,169.23,53,23,82,4,0,2,1.72,dead_end
full,1002,1,1,1,none,42.63,8.133,27.7183,0.1264,64.76,26.291,25.66,0.115,116.94,164.76,54,9,87,2,0,0,1.89,dead_end
full,1003,1,1,1,none,45.03,8.3,29.0873,0.1207,64.5,26.289,25.68,0.121,128.71,164.05,51,12,116,2,0,0,1.85,dead_end
full,1004,1,1,1,none,46.91,8.924,30.7288,0.1345,64.19,26.291,25.72,0.128,113.85,156.42,51,17,130,3,0,0,1.82,dead_end
full,1005,1,1,1,none,52.43,8.779,34.0453,0.1449,63.56,26.281,25.68,0.142,121.09,179.35,53,10,166,2,0,0,2.18,open
full,1006,1,1,1,none,54.21,8.975,34.9847,0.1138,63.38,26.284,25.71,0.146,127.37,171.85,51,28,140,2,0,0,1.55,dead_end
full,1007,1,1,1,none,49.2,8.653,31.9379,0.1043,63.96,26.284,25.7,0.133,120.79,156.24,51,14,69,2,0,1,1.68,dead_end
