variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,2,2,none,85.86,15.676,55.8488,0.2972,74.55,26.406,25.69,0.23,100.92,137.11,107,10,86,3,0,0,2.34,open
full,1001,1,2,2,none,91.02,15.566,58.4881,0.225,74.05,26.398,25.67,0.241,102.37,139.69,100,12,134,3,0,0,2.34,open
full,1002,1,2,2,none,88.94,15.719,57.4406,0.2717,74.25,26.401,25.67,0.236,109.12,143.05,102,13,134,3,0,0,2.57,open
full,1003,1,2,2,none,90.55,15.62,58.2856,0.2719,74.09,26.398,25.66,0.24,103.76,135.98,100,10,59,4,0,0,2.55,open
full,1004,1,2,2,none,90.42,15.854,58.6595,0.2901,74.02,26.397,25.67,0.241,104.6,145.72,109,15,94,4,0,0,2.94,open
full,1005,1,2,2,none,80.23,15.283,52.0579,0.2595,75.26,26.417,25.7,0.214,104.78,147.72,101,11,82,2,0,0,2.8,open
full,1006,1,2,2,none,84.73,15.226,54.5028,0.2348,74.8,26.41,25.67,0.224,93.56,131.0,96,8,94,1,0,0,2.81,open
full,1007,1,2,2,none,79.43,15.186,51.5749,0.3295,75.36,26.419,25.67,0.212,100.36,140.22,104,9,81,1,0,0,2.38,open
full,1008,0,1,2,timeout,240.0,15.614,154.8236,0.3196,55.81,26.217,25.69,0.642,97.54,142.62,90,11,1844,33,0,0,2.45,open
full,1009,1,2,2,none,77.09,15.034,50.0059,0.2787,75.65,26.423,25.7,0.205,100.84,145.8,99,10,71,1,0,0,2.3,open
full,1010,1,2,2,none,87.53,15.815,56.215,0.2285,74.48,26.404,25.68,0.231,99.59,135.46,95,9,69,2,0,0,2.84,open
full,1011,1,2,2,none,96.24,15.732,62.2294,0.2403,73.34,26.386,25.66,0.256,101.65,140.83,96,10,86,4,0,0,2.63,open
full,1012,1,2,2,none,89.54,15.42,57.6575,0.2505,74.21,26.4,25.66,0.237,92.32,129.07,111,13,142,3,0,0,2.21,open
full,1013,1,2,2,none,84.02,15.23,53.9576,0.2465,74.91,26.412,25.67,0.222,92.71,143.81,98,8,64,1,0,0,2.63,open
full,1014,1,2,2,none,93.34,15.712,60.5509,0.2833,73.66,26.392,25.66,0.249,86.81,132.3,124,10,70,4,0,0,2.49,open
full,1015,1,2,2,none,90.95,15.537,58.6995,0.2782,74.01,26.397,25.69,0.242,93.44,137.65,109,11,124,3,0,0,2.16,open
full,1016,1,2,2,none,97.33,16.308,63.0575,0.3247,73.19,26.384,25.66,0.26,95.8,139.37,98,17,101,6,0,0,2.4,open
full,1017,1,2,2,none,95.71,16.171,61.5908,0.2542,73.46,26.393,25.67,0.254,74.51,124.7,94,12,188,4,0,0,2.32,dead_end
full,1018,1,2,2,none,103.02,16.187,66.2686,0.2523,72.58,26.375,25.67,0.273,75.57,116.47,97,13,168,6,0,0,2.56,open
full,1019,1,2,2,none,92.13,15.612,59.4779,0.2829,73.86,26.395,25.67,0.245,69.86,109.87,109,12,94,3,0,0,2.68,open
