variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,1,1,none,53.4,10.505,34.891,0.1144,78.5,26.469,25.73,0.143,92.59,140.53,51,33,180,5,0,0,1.64,open
full,1001,1,1,1,none,56.62,9.45,36.7499,0.1408,78.15,26.463,25.68,0.15,103.07,152.34,52,12,134,5,0,0,2.13,open
full,1002,1,1,1,none,48.22,8.739,31.4141,0.1581,79.16,26.48,25.68,0.128,99.21,144.89,52,17,99,2,0,0,1.71,dead_end
full,1003,1,1,1,none,55.94,11.023,36.7928,0.2255,78.15,26.464,25.66,0.151,99.0,147.94,54,7,98,4,0,0,2.96,dead_end
full,1004,1,1,1,none,45.44,8.583,29.7789,0.1531,79.47,26.485,25.67,0.122,106.71,144.47,51,19,79,1,0,3,1.9,open
full,1005,1,1,1,none,54.26,10.43,35.7149,0.198,78.35,26.467,25.72,0.146,98.87,145.28,54,15,133,4,0,0,2.37,open
full,1006,1,1,1,none,55.64,10.667,36.4582,0.1918,78.21,26.464,25.68,0.149,91.22,136.58,53,15,137,4,0,0,2.82,dead_end
full,1007,1,1,1,none,46.03,8.711,30.0474,0.1422,79.41,26.484,25.66,0.123,90.07,130.99,53,7,72,3,0,0,2.35,dead_end
full,1008,1,1,1,none,58.36,9.914,38.0103,0.164,77.92,26.46,25.7,0.156,100.88,149.12,51,13,151,4,0,1,2.35,open
full,1009,1,1,1,none,51.65,9.054,33.6571,0.141,78.74,26.473,25.69,0.138,93.36,139.31,51,21,112,3,0,0,1.93,open
full,1010,1,1,1,none,47.52,9.091,31.0525,0.1202,79.22,26.481,25.68,0.127,95.49,131.52,50,21,99,1,0,0,1.51,dead_end
full,1011,1,1,1,none,45.63,8.801,29.6188,0.1339,79.5,26.485,25.67,0.121,92.87,123.18,51,15,149,2,0,0,1.45,dead_end
full,1012,1,1,1,none,44.94,7.882,28.992,0.1099,79.61,26.487,25.67,0.118,95.25,131.52,51,7,97,2,0,1,2.29,dead_end
full,1013,1,1,1,none,57.21,10.252,37.5474,0.1649,78.0,26.466,25.71,0.154,94.76,135.09,51,13,109,5,0,0,2.37,dead_end
full,1014,1,1,1,none,49.4,9.621,32.2778,0.126,78.99,26.477,25.76,0.132,94.32,132.1,50,22,171,3,0,1,1.69,open
full,1015,1,1,1,none,47.14,9.368,30.595,0.137,79.31,26.482,25.69,0.125,91.62,137.01,55,8,91,2,0,1,2.1,dead_end
full,1016,1,1,1,none,45.43,8.319,29.6447,0.1526,79.49,26.485,25.7,0.121,92.3,132.77,52,10,119,2,0,2,1.93,dead_end
full,1017,1,1,1,none,54.42,9.416,35.3828,0.1521,78.41,26.468,25.67,0.145,105.39,133.98,51,14,98,4,0,0,2.14,dead_end
full,1018,1,1,1,none,41.24,7.582,26.7768,0.137,80.03,26.497,25.69,0.109,82.48,124.33,63,8,107,0,0,1,1.81,dead_end
full,1019,1,1,1,none,54.56,8.954,35.3111,0.1472,78.43,26.468,25.72,0.144,79.45,117.25,50,17,72,3,0,0,1.26,open
