variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,0,2,3,timeout,240.0,36.396,154.2355,0.7794,40.71,26.128,25.69,0.644,99.88,135.09,145,103,465,27,0,31,11.25,dead_end
full,1001,0,2,3,timeout,240.0,30.208,155.9214,0.7866,40.39,26.133,25.69,0.651,101.64,135.64,104,73,145,26,0,1,13.34,dead_end
full,1002,0,2,3,collision,199.54,34.152,129.1992,1.5164,45.48,26.148,25.73,0.539,103.24,134.7,105,99,179,18,1,15,11.54,open
full,1003,0,1,3,timeout,240.0,19.253,153.9721,0.3469,40.76,26.126,25.73,0.643,108.0,139.68,87,18,1807,34,0,20,3.11,open
full,1004,0,2,3,timeout,240.0,34.926,154.0861,0.8407,40.74,26.121,25.74,0.643,97.84,134.61,107,77,185,28,0,14,15.84,dead_end
full,1005,0,1,3,timeout,240.0,26.94,158.2954,0.5774,39.94,26.117,25.78,0.661,101.76,137.33,92,67,507,33,0,13,12.45,dead_end
full,1006,0,2,3,collision,177.71,29.198,115.1097,0.8195,48.17,26.16,25.77,0.48,103.37,133.72,142,73,141,14,1,8,7.08,open
full,1007,0,2,3,timeout,240.0,32.817,153.4389,0.5364,40.87,26.129,25.69,0.64,97.19,121.32,102,75,168,28,0,24,15.79,dead_end
full,1008,0,2,3,timeout,240.0,34.119,154.2064,0.8233,40.72,26.121,25.69,0.644,95.29,125.18,102,126,374,28,0,38,15.38,open
full,1009,0,2,3,timeout,240.0,34.473,153.9244,0.9116,40.78,26.104,25.95,0.642,102.09,134.76,95,89,416,28,0,20,13.77,open
full,1010,0,2,3,timeout,240.0,32.023,153.963,0.4773,40.76,26.128,25.73,0.643,99.58,128.38,144,50,415,27,0,7,12.95,dead_end
full,1011,0,2,3,timeout,240.0,35.828,155.1908,0.7632,40.54,26.126,25.72,0.648,98.32,123.39,146,39,275,25,0,45,14.39,dead_end
full,1012,0,1,3,collision,157.47,24.641,102.3418,0.4038,50.59,26.174,25.72,0.427,97.3,116.39,89,40,132,18,1,1,10.86,dead_end
full,1013,0,1,3,timeout,240.0,18.274,153.9797,0.3035,40.76,26.126,25.7,0.643,96.2,117.47,87,20,1750,34,0,17,3.1,open
full,1014,0,2,3,timeout,240.0,36.167,154.6761,0.9748,40.63,26.129,25.69,0.646,93.93,120.63,101,90,190,27,0,17,15.27,dead_end
full,1015,0,1,3,collision,161.98,23.354,105.7494,0.5077,49.94,26.168,25.7,0.441,96.84,122.52,86,37,251,18,1,45,7.52,open
full,1016,0,1,3,timeout,240.0,24.804,151.6687,0.4204,41.2,26.131,25.68,0.633,105.3,123.61,51,26,305,36,0,21,8.46,open
full,1017,0,2,3,timeout,240.0,32.606,153.0565,0.5721,40.94,26.132,25.66,0.639,91.55,108.31,107,74,231,28,0,52,16.98,dead_end
full,1018,0,1,3,collision,136.54,22.667,88.8407,0.3665,53.16,26.195,25.73,0.37,91.17,118.42,89,44,93,13,1,3,8.97,dead_end
full,1019,0,2,3,timeout,240.0,36.345,155.435,0.6481,40.48,26.127,25.73,0.649,90.95,112.27,127,62,179,24,0,7,14.22,dead_end
full,1020,0,2,3,timeout,240.0,39.96,156.5098,1.5086,40.29,26.118,25.76,0.653,95.52,121.05,140,148,356,22,0,31,9.41,open
full,1021,0,1,3,collision,94.88,16.934,61.9623,0.2852,58.26,26.235,25.7,0.258,95.12,125.23,90,17,305,11,1,25,3.87,dead_end
full,1022,0,1,3,collision,66.57,11.068,42.7593,0.1659,61.91,26.267,25.68,0.178,93.83,115.4,51,13,49,6,1,4,2.64,open
full,1023,0,0,3,timeout,240.0,17.327,156.0378,0.5102,40.36,26.123,25.71,0.651,95.52,112.41,38,59,173,39,0,0,17.7,dead_end
full,1024,0,0,3,timeout,240.0,22.734,157.7454,0.5681,40.04,26.122,25.73,0.659,100.62,119.69,38,45,236,39,0,0,18.35,dead_end
full,1025,0,2,3,timeout,240.0,29.331,154.7715,0.4826,40.61,26.129,25.75,0.646,95.56,141.54,147,60,675,23,0,20,11.11,open
full,1026,0,2,3,timeout,240.0,34.528,153.2161,0.7518,40.91,26.123,25.68,0.64,99.53,151.33,103,81,125,28,0,13,16.45,dead_end
full,1027,1,3,3,none,179.02,31.783,115.1881,0.6443,48.15,26.164,25.67,0.48,104.61,139.1,153,52,152,11,0,3,7.08,open
full,1028,0,2,3,timeout,240.0,37.871,156.4792,0.8683,40.29,26.122,25.72,0.653,104.6,136.93,100,108,306,24,0,27,13.24,open
full,1029,0,1,3,collision,126.8,19.24,82.1425,0.3493,54.43,26.205,25.7,0.342,103.45,137.61,90,27,57,13,1,2,7.79,dead_end
full,1030,0,1,3,collision,150.57,23.959,97.9015,0.4613,51.44,26.181,25.71,0.408,103.19,138.75,89,47,80,14,1,5,9.84,dead_end
full,1031,0,2,3,timeout,240.0,37.537,154.8287,1.4344,40.6,26.124,25.68,0.646,105.63,134.12,98,123,454,24,0,45,11.29,open
full,1032,0,2,3,timeout,240.0,29.249,157.3413,0.8661,40.12,26.12,25.72,0.657,101.51,133.39,107,68,113,18,0,0,13.32,open
full,1033,0,0,3,timeout,240.0,27.558,159.6724,0.7164,39.67,26.112,25.79,0.667,108.23,136.89,38,42,436,36,0,75,18.7,dead_end
full,1034,0,1,3,collision,101.79,15.145,65.5082,0.2797,57.6,26.23,25.69,0.273,104.96,137.21,90,23,162,8,1,11,4.06,dead_end
full,1035,0,2,3,timeout,240.0,39.841,156.0372,1.5217,40.37,26.128,25.76,0.651,102.14,130.83,95,129,220,28,0,31,16.03,dead_end
full,1036,0,2,3,timeout,240.0,32.754,155.2689,0.658,40.52,26.126,25.72,0.648,104.13,134.83,113,81,185,30,0,1,13.92,open
full,1037,0,1,3,timeout,240.0,25.827,153.9795,0.4659,40.76,26.128,25.69,0.643,104.69,135.03,87,40,1229,34,0,3,7.68,open
full,1038,0,1,3,collision,87.38,15.005,56.3848,0.2233,59.32,26.244,25.71,0.235,102.27,134.23,88,22,118,5,1,1,3.79,open
full,1039,0,2,3,timeout,240.0,31.838,153.1857,0.4577,40.91,26.13,25.67,0.639,104.53,136.55,111,77,479,29,0,35,16.48,dead_end
full,1040,0,2,3,timeout,240.0,33.466,154.7249,1.1254,40.63,26.123,25.76,0.646,103.43,140.62,101,103,148,25,0,17,14.58,dead_end
full,1041,0,1,3,collision,141.7,20.556,91.2165,0.332,52.71,26.191,25.67,0.38,107.54,155.32,88,22,199,14,1,5,8.67,dead_end
full,1042,0,1,3,timeout,240.0,34.314,154.4906,0.5295,40.66,26.127,25.71,0.645,107.43,147.09,88,50,456,30,0,31,15.0,open
full,1043,0,1,3,collision,86.42,15.276,56.5209,0.2967,59.3,26.246,25.67,0.235,104.37,143.26,60,32,44,8,1,3,4.38,open
full,1044,0,2,3,timeout,240.0,37.742,154.5942,1.279,40.64,26.125,25.74,0.645,103.06,139.84,108,129,350,27,0,49,14.4,dead_end
full,1045,0,1,3,collision,128.23,20.066,83.4902,0.5394,54.19,26.201,25.74,0.347,107.74,159.48,88,36,146,12,1,9,6.42,dead_end
full,1046,0,2,3,timeout,240.0,33.358,155.3419,0.5013,40.5,26.13,25.7,0.648,108.7,152.4,99,50,545,28,0,10,14.09,open
full,1047,0,1,3,collision,112.3,17.197,72.6607,0.3066,56.24,26.218,25.73,0.303,111.9,167.52,89,52,114,8,1,5,5.3,dead_end
full,1048,0,1,3,collision,99.02,16.336,64.3368,0.3167,57.82,26.232,25.73,0.268,112.31,147.28,91,29,178,8,1,5,4.2,dead_end
full,1049,0,0,3,collision,82.77,11.259,54.5432,0.2952,59.67,26.246,25.72,0.227,103.25,136.16,39,22,53,11,1,0,6.14,dead_end
full,1050,0,1,3,collision,107.49,16.66,69.5892,0.2946,56.82,26.224,25.72,0.29,99.34,138.05,85,22,82,11,1,14,4.84,dead_end
full,1051,0,1,3,timeout,240.0,20.029,154.2541,0.352,40.71,26.123,25.71,0.644,98.1,144.35,85,24,1564,34,0,32,4.37,open
full,1052,0,2,3,timeout,240.0,37.445,155.0012,1.1497,40.57,26.125,25.84,0.647,100.33,154.38,100,156,316,26,0,67,12.64,dead_end
full,1053,1,3,3,none,169.34,28.451,109.1903,0.4682,49.3,26.169,25.67,0.455,104.62,148.81,142,45,149,10,0,1,7.42,dead_end
full,1054,0,1,3,collision,102.69,16.326,66.1913,0.2938,57.47,26.229,25.76,0.276,99.14,133.77,88,34,203,8,1,3,3.58,open
full,1055,1,3,3,none,173.22,30.012,111.5208,0.3838,48.85,26.167,25.67,0.465,108.25,163.99,141,60,244,13,0,7,6.65,open
full,1056,0,1,3,timeout,240.0,19.899,154.1025,0.3847,40.74,26.126,25.69,0.643,106.38,147.03,86,23,1641,34,0,12,3.93,open
full,1057,0,0,3,collision,172.22,22.304,114.6047,0.3951,48.26,26.159,25.71,0.478,103.27,152.3,38,44,304,25,1,3,12.89,dead_end
full,1058,0,0,3,timeout,240.0,28.275,157.9074,0.6801,40.01,26.117,25.74,0.659,111.55,145.97,38,47,266,37,0,11,18.58,dead_end
full,1059,0,2,3,timeout,240.0,33.277,153.1069,0.5383,40.93,26.131,25.74,0.639,99.13,141.17,102,82,176,26,0,15,16.94,dead_end
full,1060,0,2,3,timeout,240.0,33.392,153.1446,0.6053,40.92,26.123,25.7,0.639,99.28,138.37,105,98,297,29,0,44,15.82,dead_end
full,1061,1,3,3,none,239.04,36.206,153.2745,0.7965,40.9,26.129,25.67,0.64,111.2,181.31,143,69,238,20,0,6,9.75,open
full,1062,0,1,3,timeout,240.0,20.768,154.2675,0.3831,40.7,26.129,25.69,0.644,97.87,149.34,87,50,779,36,0,13,9.72,open
full,1063,0,1,3,collision,111.38,19.518,72.5234,0.3204,56.26,26.219,25.74,0.302,98.89,134.87,88,22,113,10,1,18,6.27,dead_end
full,1064,0,0,3,collision,106.69,15.255,70.5671,0.315,56.63,26.222,25.68,0.294,106.22,150.84,38,28,84,16,1,0,8.49,dead_end
full,1065,0,2,3,timeout,240.0,32.54,154.1257,0.6541,40.74,26.131,25.68,0.643,107.91,154.45,101,72,145,24,0,16,15.51,dead_end
full,1066,0,1,3,collision,101.14,16.769,66.3528,0.358,57.43,26.229,25.7,0.276,96.05,133.04,88,23,101,8,1,6,5.49,open
full,1067,0,1,3,timeout,240.0,34.057,154.5814,0.5018,40.64,26.127,25.72,0.645,99.76,144.15,88,41,441,32,0,20,16.54,dead_end
