variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,1,1,none,46.71,8.368,30.2467,0.1035,64.28,26.291,25.67,0.126,120.24,164.05,51,9,93,3,0,0,1.6,dead_end
full,1001,1,1,1,none,52.04,8.723,33.6518,0.1216,63.63,26.282,25.67,0.14,116.72,164.2,50,14,88,3,0,0,1.56,dead_end
full,1002,1,1,1,none,53.94,9.676,35.1672,0.165,63.35,26.279,25.67,0.146,121.36,164.2,50,13,120,3,0,1,2.1,open
full,1003,1,1,1,none,52.73,8.621,34.1082,0.158,63.55,26.281,25.66,0.142,122.12,156.24,50,6,81,2,0,0,2.03,open
full,1004,1,1,1,none,52.81,9.384,34.303,0.1474,63.51,26.285,25.67,0.143,118.85,163.9,52,11,127,2,0,0,1.9,dead_end
full,1005,0,0,1,collision,40.23,6.164,26.4145,0.1117,65.0,26.288,25.71,0.11,127.47,166.23,39,10,85,3,1,5,2.18,open
full,1006,1,1,1,none,52.52,9.139,33.9774,0.1082,63.57,26.282,25.66,0.141,117.87,164.45,50,21,135,3,0,0,1.74,open
full,1007,1,1,1,none,47.83,8.688,31.1395,0.1265,64.11,26.285,25.67,0.129,113.11,164.2,50,6,79,2,0,2,1.65,open
