variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,2,2,none,138.43,22.365,89.7828,0.4654,68.14,26.318,25.66,0.371,100.51,130.0,101,54,172,10,0,14,7.34,open
full,1001,1,2,2,none,95.33,18.809,62.1629,0.3163,73.36,26.387,25.67,0.256,102.85,125.6,102,19,126,7,0,6,5.13,dead_end
full,1002,1,2,2,none,117.07,20.777,76.1225,0.3309,70.72,26.344,25.69,0.314,104.05,127.91,96,52,188,10,0,14,4.68,dead_end
full,1003,0,0,2,collision,22.36,4.035,14.4936,0.0694,82.32,26.731,25.71,0.059,111.31,130.16,38,1,12,1,1,0,0.9,dead_end
full,1004,0,1,2,timeout,240.0,33.11,156.2924,0.6056,55.53,26.212,25.77,0.648,106.25,128.81,86,54,336,33,0,15,16.84,dead_end
full,1005,1,2,2,none,127.03,21.103,83.0565,0.3588,69.42,26.328,25.7,0.343,99.65,123.93,114,31,143,10,0,1,6.51,dead_end
full,1006,0,1,2,collision,114.7,18.581,74.8441,0.3606,70.96,26.345,25.7,0.309,101.87,126.91,84,39,97,10,1,15,5.72,dead_end
full,1007,0,0,2,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
full,1008,0,1,2,collision,88.89,15.613,58.0836,0.3201,74.13,26.396,25.67,0.239,102.89,136.75,88,30,61,7,1,1,4.46,dead_end
full,1009,0,1,2,collision,89.37,15.202,58.2624,0.312,74.1,26.395,25.68,0.24,97.73,113.18,87,24,74,6,1,10,4.88,dead_end
full,1010,1,2,2,none,119.5,20.438,77.0658,0.3762,70.55,26.341,25.7,0.318,98.84,126.51,96,32,170,11,0,3,6.11,open
full,1011,1,2,2,none,155.03,23.379,99.5372,0.375,66.29,26.303,25.68,0.411,94.33,123.75,99,51,324,14,0,4,8.53,open
full,1012,0,1,2,timeout,240.0,36.83,154.8439,0.6599,55.8,26.218,25.67,0.642,95.32,121.03,89,60,95,31,0,1,19.98,dead_end
full,1013,0,1,2,timeout,240.0,23.49,154.0593,0.5839,55.96,26.221,25.68,0.638,96.27,127.21,86,51,303,32,0,17,13.28,dead_end
full,1014,1,2,2,none,109.55,18.112,71.3413,0.3359,71.63,26.359,25.67,0.294,99.59,134.85,115,26,145,7,0,8,5.84,dead_end
full,1015,0,2,2,timeout,240.0,28.254,153.9109,0.5415,55.99,26.22,25.69,0.638,88.33,138.96,105,65,584,30,0,14,12.53,open
full,1016,1,2,2,none,204.17,32.576,133.9683,0.6495,59.77,26.251,25.67,0.555,90.59,113.93,96,53,286,26,0,10,14.69,dead_end
full,1017,1,2,2,none,175.92,23.993,113.4647,0.4517,63.66,26.282,25.7,0.469,88.52,121.26,102,47,263,21,0,11,7.31,dead_end
full,1018,0,1,2,collision,92.59,15.526,59.6743,0.304,73.83,26.391,25.7,0.246,90.25,108.87,98,19,53,8,1,1,5.89,dead_end
full,1019,1,2,2,none,98.41,19.69,64.795,0.3601,72.86,26.383,25.72,0.267,81.54,116.55,102,43,110,7,0,11,4.79,dead_end
