variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,0,2,3,collision,195.35,30.43,125.7337,0.6149,46.14,26.15,25.68,0.524,96.76,140.86,148,81,180,19,1,15,10.71,dead_end
full,1001,0,2,3,timeout,240.0,34.109,153.9505,0.6657,40.77,26.125,25.73,0.643,97.9,139.92,101,41,446,27,0,76,13.16,open
full,1002,0,2,3,timeout,240.0,32.464,154.3783,0.6312,40.68,26.128,25.76,0.644,97.69,140.24,96,45,471,30,0,71,12.87,dead_end
full,1003,0,1,3,timeout,240.0,23.028,153.2304,0.4218,40.9,26.129,25.67,0.64,97.88,130.88,88,64,315,32,0,11,12.57,open
full,1004,0,1,3,collision,101.3,16.294,65.5372,0.2528,57.59,26.23,25.67,0.273,97.22,140.06,89,44,47,9,1,1,4.68,dead_end
full,1005,0,2,3,timeout,240.0,37.08,154.8114,0.8911,40.6,26.127,25.74,0.646,98.14,144.27,97,48,622,26,0,133,15.92,dead_end
full,1006,0,2,3,collision,145.0,25.154,94.4066,0.5513,52.11,26.186,25.72,0.393,97.01,133.33,140,49,167,11,1,11,6.3,open
full,1007,0,2,3,timeout,240.0,34.582,153.9972,0.6604,40.76,26.122,25.77,0.643,96.75,123.56,100,43,638,28,0,82,12.96,dead_end
full,1008,0,1,3,collision,95.32,16.255,61.9893,0.2939,58.26,26.236,25.7,0.258,106.84,141.92,87,26,138,8,1,2,4.48,open
full,1009,0,2,3,timeout,240.0,36.167,154.312,0.7505,40.7,26.123,25.71,0.644,104.1,134.19,143,45,241,23,0,15,14.83,dead_end
full,1010,0,1,3,timeout,240.0,31.652,154.3839,0.4635,40.68,26.129,25.7,0.644,104.52,132.78,87,43,503,32,0,26,15.03,open
full,1011,0,0,3,collision,22.94,4.142,14.8239,0.0559,67.2,26.306,25.76,0.062,118.44,148.51,38,3,21,1,1,0,1.04,dead_end
full,1012,0,0,3,collision,37.13,5.921,24.1243,0.092,65.44,26.292,25.74,0.1,116.68,137.54,38,4,13,3,1,0,2.52,open
full,1013,0,2,3,timeout,240.0,32.044,154.0035,0.6433,40.76,26.131,25.7,0.643,107.75,148.13,105,58,366,31,0,65,12.6,dead_end
full,1014,0,2,3,timeout,240.0,35.167,154.1167,0.6079,40.73,26.128,25.74,0.643,102.31,140.14,98,62,531,29,0,56,15.59,open
full,1015,0,2,3,timeout,240.0,33.172,153.8194,0.6744,40.8,26.124,25.77,0.642,113.08,171.0,105,49,382,29,0,48,15.08,open
full,1016,0,0,3,collision,24.8,4.099,16.2288,0.0771,66.93,26.305,25.76,0.067,114.28,186.86,38,2,13,2,1,0,1.26,open
