variant,seed,success,boxes,num_boxes,failure,mission_time_s,path_m,energy_wh,regen_wh,final_soc,terminal_v,max_cell_temp,soc_spread,nmpc_mean_ms,nmpc_p99_ms,nmpc_solves,switches,astar_replans,recoveries,collisions,wedge_escapes,corridor_narrow_s,corridor_class
full,1000,1,2,2,none,117.53,18.917,76.0975,0.3902,70.74,26.345,25.66,0.314,100.32,144.5,96,20,251,8,0,15,4.37,dead_end
full,1001,0,0,2,collision,110.42,14.38,72.2779,0.3084,71.45,26.351,25.72,0.298,112.18,152.83,38,31,88,13,1,0,8.18,dead_end
full,1002,1,2,2,none,100.63,18.383,65.7424,0.2536,72.68,26.376,25.66,0.271,94.68,141.43,110,13,222,7,0,7,4.01,dead_end
full,1003,0,1,2,collision,105.72,17.425,68.7503,0.2952,72.12,26.364,25.65,0.283,94.42,142.03,89,33,74,9,1,4,5.61,dead_end
full,1004,0,1,2,collision,123.94,20.073,80.6224,0.361,69.87,26.329,25.69,0.333,97.39,141.64,90,28,200,12,1,22,7.37,dead_end
full,1005,1,2,2,none,108.73,18.131,70.4916,0.3887,71.8,26.362,25.67,0.29,99.62,135.02,96,29,146,6,0,4,4.12,open
full,1006,1,2,2,none,160.03,24.451,103.8171,0.3868,65.48,26.297,25.66,0.429,100.23,123.03,103,86,279,14,0,3,7.0,dead_end
full,1007,0,1,2,timeout,240.0,17.562,154.0356,0.333,55.96,26.219,25.69,0.638,101.88,125.05,87,21,1747,32,0,12,3.48,open
full,1008,0,1,2,collision,101.58,16.339,65.6326,0.3076,72.71,26.373,25.69,0.27,99.91,133.79,86,23,122,8,1,14,3.79,dead_end
full,1009,0,1,2,collision,123.11,19.069,80.3121,0.5362,69.93,26.329,25.85,0.331,99.13,135.43,87,33,118,13,1,8,5.77,dead_end
full,1010,0,1,2,collision,88.62,13.483,57.1269,0.2502,74.31,26.399,25.68,0.235,102.77,133.78,88,18,67,6,1,3,4.12,open
full,1011,1,2,2,none,114.34,19.956,74.6208,0.5228,71.01,26.349,25.67,0.308,100.16,142.15,104,43,153,7,0,4,4.54,dead_end
full,1012,1,2,2,none,103.04,19.755,67.2023,0.3847,72.41,26.372,25.67,0.277,95.18,123.55,99,23,119,6,0,2,4.09,dead_end
full,1013,0,1,2,timeout,240.0,19.448,154.7085,0.4664,55.83,26.221,25.7,0.641,100.03,117.47,89,29,527,34,0,13,10.18,dead_end
full,1014,1,2,2,none,113.34,19.846,73.657,0.317,71.19,26.352,25.67,0.304,99.94,140.46,99,38,146,7,0,1,4.54,dead_end
full,1015,0,1,2,collision,107.28,16.289,69.1468,0.3408,72.04,26.362,25.84,0.285,97.35,130.56,87,26,194,8,1,19,4.21,dead_end
full,1016,1,2,2,none,148.08,21.702,95.6866,0.3833,67.02,26.309,25.68,0.395,91.34,111.71,95,40,357,14,0,8,5.54,dead_end
full,1017,0,1,2,collision,118.36,18.68,76.8802,0.3283,70.58,26.339,25.68,0.317,88.82,108.36,88,28,211,10,1,23,6.43,dead_end
full,1018,0,1,2,collision,149.85,23.561,97.4326,0.4715,66.69,26.303,25.72,0.402,89.18,107.27,87,26,223,15,1,20,9.7,dead_end
full,1019,1,2,2,none,119.04,20.493,76.9539,0.2982,70.57,26.342,25.67,0.317,87.02,107.05,100,27,123,9,0,0,4.55,dead_end
